Recycle_Schedule,Residual Day,Primary Address Identifier,Secondary Address Identifier,Street,Locality
4,FRIDAY,98,,BILLERICAY ROAD,HERONGATE
4,FRIDAY,8,,ABBOTS CLOSE,SHENFIELD
11,WEDNESDAY,67,,ABENBERG WAY,HUTTON
5,MONDAY,9,,BIRKBECK ROAD,HUTTON
9,THURSDAY,51,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,52,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,53,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,54,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,55,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,56,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,57,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,58,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,59,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,60,,MAGNOLIA WAY,PILGRIMS HATCH
5,MONDAY,10,,BIRKBECK ROAD,HUTTON
9,THURSDAY,61,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,62,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,63,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,64,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,65,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,66,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,67,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,68,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,69,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,70,,MAGNOLIA WAY,PILGRIMS HATCH
5,MONDAY,11,,BIRKBECK ROAD,HUTTON
9,THURSDAY,71,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,72,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,73,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,74,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,75,,MAGNOLIA WAY,PILGRIMS HATCH
9,THURSDAY,76,,MAGNOLIA WAY,PILGRIMS HATCH
8,FRIDAY,1,,MANOR WAY,BRENTWOOD
8,FRIDAY,2,,MANOR WAY,BRENTWOOD
8,FRIDAY,3,,MANOR WAY,BRENTWOOD
8,FRIDAY,4,,MANOR WAY,BRENTWOOD
5,MONDAY,12,,BIRKBECK ROAD,HUTTON
8,FRIDAY,5,,MANOR WAY,BRENTWOOD
8,FRIDAY,6,,MANOR WAY,BRENTWOOD
8,FRIDAY,7,,MANOR WAY,BRENTWOOD
8,FRIDAY,8,,MANOR WAY,BRENTWOOD
8,FRIDAY,9,,MANOR WAY,BRENTWOOD
8,FRIDAY,11,,MANOR WAY,BRENTWOOD
8,FRIDAY,15,,MANOR WAY,BRENTWOOD
11,WEDNESDAY,1,,MAPLE CLOSE,BRENTWOOD
